,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,2885.337000000277,185420.0259999997,188305.36299999995,
1,SSM_Scan,33244.70900000007,224507.2350000012,257751.94400000124,
2,activation,0.0,0.0,0.0,0.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,18560.11999999943,34189.53599999982,52749.655999999246,250.0
5,arithmetic,2599.6919999997053,462.6910000002795,3062.382999999985,480.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,344.82700000006616,580.9019999999541,925.7290000000204,10.0
9,memory,6738.868999999784,1718.6139999992442,8457.482999999029,1680.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
