,name,total_time (us),pct
0,GEMM,291229.2639999998,23.285010693541874
1,SSM_Scan,139941.85999999856,11.188943246356274
2,activation,4364.482999999279,0.3489588646790832
3,logit_computation,0.0,0.0
4,nomralization,223493.5670000035,17.869255397125553
5,arithmetic,172745.18300000427,13.811707581051849
6,pooling,0.0,0.0
7,interpolation,0.0,0.0
8,embedding,334.38100000013435,0.026735174390717684
9,memory,274814.3650000028,21.972570132114157
10,roi,0.0,0.0
11,other,143792.50900000072,11.496818910740492
