,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,2.0,aten::arange,20524.447999999968,2119.96199999943,22644.4099999994,2580.0
1,3.0,aten::unsqueeze,6929.833000001253,0.0,6929.833000001253,3890.0
2,4.0,aten::view,1041.1469999989415,0.0,1041.1469999989415,1310.0
3,6.0,aten::expand,3789.0429999995977,0.0,3789.0429999995977,1290.0
4,7.0,aten::reshape,6384.627000000781,4318.099999999119,10702.7269999999,1000.0
5,8.0,aten::cat,8937.190000000892,6404.00199999978,15341.192000000672,1140.0
6,12.0,aten::item,68.58999999998582,7.680999999884079,76.2709999998699,10.0
7,15.0,aten::transpose,4635.170999999285,0.0,4635.170999999285,4520.0
8,16.0,aten::tensor_split,2357.837999999114,0.0,2357.837999999114,640.0
9,18.0,aten::contiguous,17647.365000000376,5725.387000000238,23372.75200000061,1920.0
10,19.0,aten::slice,10786.679000000024,0.0,10786.679000000024,6480.0
11,20.0,aten::to,35501.924000001665,9480.675000000134,44982.5990000018,7370.0
12,27.0,aten::new_zeros,15721.478999999004,771.7799999994152,16493.25899999842,960.0
13,30.0,aten::new_ones,7253.702999999712,479.13900000127865,7732.842000000991,610.0
14,33.0,aten::permute,585.8439999995048,0.0,585.8439999995048,320.0
15,37.0,aten::where,14730.060999999096,1359.7840000000128,16089.84499999911,640.0
16,39.0,aten::index_put_,79338.00000000144,3788.337000004879,83126.33700000632,640.0
17,42.0,aten::split_with_sizes,915.7409999991428,0.0,915.7409999991428,320.0
18,46.0,aten::empty,260.7829999994874,0.0,260.7829999994874,320.0
19,48.0,aten::ones,2694.0809999991084,255.97100000027376,2950.051999999382,320.0
20,432.0,memory,240103.54699999836,34710.818000004445,274814.3650000028,36280.0
