,name,total_time (us),pct
0,GEMM,290560.4699999983,33.51938906000966
1,SSM_Scan,178940.0310000002,20.642727200638237
2,activation,1612.9359999999824,0.18607014681968084
3,logit_computation,0.0,0.0
4,nomralization,137854.9929999991,15.903110096951266
5,arithmetic,221067.54899999883,25.502605992734505
6,pooling,0.0,0.0
7,interpolation,0.0,0.0
8,embedding,465.2820000000677,0.05367546514714054
9,memory,36188.20199999892,4.1747124865959595
10,roi,0.0,0.0
11,other,153.5139999992291,0.017709551103536256
