,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,12.0,aten::add,4218.866999999838,13263.122999999596,17481.989999999434,810.0
1,17.0,aten::gt,86.88600000002589,30.52800000001229,117.4140000000382,10.0
2,18.0,aten::mul_,64.57700000003479,47.13599999997382,111.7130000000086,10.0
3,22.0,aten::eq,6876.077000000752,1312.5219999997491,8188.599000000501,1170.0
4,23.0,aten::mul,1655.2019999998822,3956.878999999977,5612.080999999859,340.0
5,26.0,aten::all,7326.615999999952,2311.673999999048,9638.289999999,1150.0
6,27.0,aten::bitwise_not,74.50699999995732,9.536999999902946,84.04399999986026,10.0
7,31.0,aten::cos,64.65100000004577,13.054999999856818,77.70599999990259,10.0
8,32.0,aten::sin,62.896999999937634,13.346000000095728,76.24300000003336,10.0
9,34.0,aten::is_nonzero,173447.01400000002,670.0129999993676,174117.0269999994,760.0
10,36.0,aten::exp,1938.937000000116,373.93199999984176,2312.868999999958,380.0
11,37.0,aten::neg,2369.31900000046,880.2540000003742,3249.573000000834,500.0
12,315.0,arithmetic,198185.55000000104,22881.998999997795,221067.54899999883,5160.0
