,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,112992.782,108931.99900000004,221924.781,10.0
2,aten::embedding,242.12300000000116,164.35300000000774,406.47600000000887,10.0
3,layernormfn,18448.859999999964,5533.330999999862,23982.190999999824,250.0
4,aten::permute,466.2270000001482,0.0,466.2270000001482,480.0
5,aten::reshape,505.79700000010007,0.0,505.79700000010007,480.0
6,aten::matmul,2587.121999999974,30733.234000000044,33320.356000000014,240.0
7,aten::to,5461.022999999816,1809.1470000001375,7270.169999999953,720.0
8,aten::exp,1379.8249999999816,239.36699999986664,1619.1919999998483,240.0
9,aten::neg,1238.1840000001282,234.9210000000346,1473.1050000001628,240.0
10,mambainnerfn,32399.260999999995,50895.76900000005,83295.03000000004,240.0
11,aten::linear,168.953999999997,19321.87700000002,19490.831000000017,10.0
12,cudadevicesynchronize,38275.88400000001,0.0,38275.88400000001,10.0
0,GEMM,2756.075999999971,50055.11100000006,52811.187000000034,
0,NonGEMM,27742.03900000014,7981.118999999908,35723.15800000005,
0,SSM_Scan,32399.260999999995,50895.76900000005,83295.03000000004,
