,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,3.0,aten::arange,105.308999999965,10.687000000001234,115.99599999996624,10.0
1,4.0,aten::unsqueeze,1043.99900000015,0.0,1043.99900000015,1159.0
2,8.0,aten::slice,3415.8859999998404,0.0,3415.8859999998404,3416.0
3,9.0,aten::to,230.6120000000532,53.05300000002518,283.66500000007835,70.0
4,10.0,aten::expand,633.4040000000105,0.0,633.4040000000105,569.0
5,12.0,aten::transpose,1001.370999999607,0.0,1001.370999999607,1130.0
6,13.0,aten::cat,3458.709999999932,2845.95499999958,6304.664999999511,570.0
7,19.0,aten::view,353.3589999993766,0.0,353.3589999993766,840.0
8,22.0,aten::reshape,5138.824999999344,2445.1699999996863,7583.99499999903,840.0
9,23.0,aten::contiguous,4354.369000000072,2206.744000000129,6561.1130000002,560.0
10,123.0,memory,19735.843999998353,7561.608999999422,27297.45299999777,9164.0
