,name,total_time (us),pct
0,GEMM,2643136.7340000058,30.4218563240916
1,SSM_Scan,408069.9920000138,4.696785643779563
2,activation,18329.598999999893,0.2109691943225093
3,logit_computation,0.0,0.0
4,nomralization,1250854.9090000226,14.397033583009208
5,arithmetic,4255711.08699998,48.98219209780647
6,pooling,0.0,0.0
7,interpolation,0.0,0.0
8,embedding,1060.0699999998444,0.012201146016638494
9,memory,108069.58500001341,1.2438544497466038
10,roi,0.0,0.0
11,other,3050.2439999970884,0.0351075612274146
