,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,3.0,aten::clone,289.1760000006018,3019.1449999994893,3308.321000000091,20.0
1,4.0,aten::zeros,4183.70599999671,717.8120000003689,4901.517999997079,760.0
2,5.0,aten::empty,150.08799999529958,0.0,150.08799999529958,760.0
3,6.0,aten::to,4896.65699999229,711.3969999984956,5608.053999990786,1210.0
4,8.0,aten::detach_,262.6740000024697,0.0,262.6740000024697,760.0
5,9.0,aten::arange,188.13399999998887,19.3600000006943,207.4940000006832,20.0
6,10.0,aten::unsqueeze,199.3060000004691,0.0,199.3060000004691,200.0
7,11.0,aten::select,23.65399999967304,0.0,23.65399999967304,10.0
8,13.0,aten::item,4340.1839999996455,17.696000000692038,4357.8800000003375,20.0
9,14.0,aten::full,69.92400000021371,1332.4010000001676,1402.3250000003814,10.0
10,16.0,aten::reshape,89.14300000137018,0.0,89.14300000137018,70.0
11,19.0,aten::slice,1133.7949999967343,0.0,1133.7949999967343,899.0
12,20.0,aten::expand,24.83599999919943,0.0,24.83599999919943,20.0
13,21.0,aten::alias,27.54300000053695,0.0,27.54300000053695,20.0
14,24.0,aten::masked_fill,167.62599999961935,6368.979000000286,6536.604999999905,10.0
15,25.0,aten::copy_,5281.213999994428,5303.27199999556,10584.485999989987,770.0
16,29.0,aten::transpose,1341.8629999943496,0.0,1341.8629999943496,1389.0
17,30.0,aten::cat,938.5720000025794,20384.56200000108,21323.13400000366,130.0
18,38.0,aten::split_with_sizes,1917.519000007784,0.0,1917.519000007784,759.0
19,39.0,aten::pad,5123.326000002008,677.3309999998082,5800.657000001816,380.0
20,40.0,aten::squeeze,652.9430000045459,0.0,652.9430000045459,380.0
21,42.0,aten::view,1097.8880000226536,0.0,1097.8880000226536,1700.0
22,45.0,aten::concatenate,617.401000000842,8881.941999999908,9499.34300000075,60.0
23,46.0,aten::contiguous,1380.5029999994804,25827.253000003555,27207.756000003035,180.0
24,48.0,aten::chunk,410.7599999998056,0.0,410.7599999998056,60.0
25,565.0,memory,34808.4350000133,73261.15000000011,108069.58500001341,10597.0
