,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,205666.726,201791.2259999998,407457.95199999976,10.0
2,aten::embedding,368.4270000000026,301.5729999999696,669.9999999999723,10.0
3,layernormfn,20003.05100000016,13648.498000000223,33651.549000000385,250.0
4,aten::permute,507.93200000015577,0.0,507.93200000015577,480.0
5,aten::reshape,527.131000000392,0.0,527.131000000392,480.0
6,aten::matmul,2939.135000000143,58544.57400000037,61483.70900000051,240.0
7,aten::to,5639.003999999943,1798.5399999996955,7437.543999999638,720.0
8,aten::exp,1384.4709999999432,233.6339999998768,1618.10499999982,240.0
9,aten::neg,1213.2249999999417,227.3610000000391,1440.585999999981,240.0
10,mambainnerfn,33722.109999999884,89400.40799999962,123122.5179999995,240.0
11,aten::linear,214.6119999999737,37616.57299999999,37831.18499999996,10.0
12,cudadevicesynchronize,127040.13399999996,20.06500000000233,127060.19899999996,10.0
0,GEMM,3153.7470000001167,96161.14700000036,99314.89400000047,
0,NonGEMM,29643.241000000537,16209.605999999803,45852.84700000034,
0,SSM_Scan,33722.109999999884,89400.40799999962,123122.5179999995,
