,name,total_time (us),pct
0,GEMM,173329.89100000085,30.191492023139787
1,SSM_Scan,166467.43700000067,28.996154484964283
2,activation,1019.9590000000836,0.17766170528793562
3,logit_computation,0.0,0.0
4,nomralization,114677.58200000283,19.9751311341102
5,arithmetic,84429.81899999971,14.706420180311627
6,pooling,0.0,0.0
7,interpolation,0.0,0.0
8,embedding,292.7680000000121,0.050995836238256854
9,memory,33767.37700000153,5.881775425208656
10,roi,0.0,0.0
11,other,116.94000000015784,0.020369210739252783
