,name,total_time (us),pct
0,GEMM,199103.82600000344,19.321157621556733
1,SSM_Scan,92767.08299999755,9.002174738394821
2,activation,3581.407999999693,0.3475420330450964
3,logit_computation,0.0,0.0
4,nomralization,201051.5839999938,19.510169254745847
5,arithmetic,151846.48600000245,14.73527630898215
6,pooling,0.0,0.0
7,interpolation,0.0,0.0
8,embedding,263.37199999986854,0.025557780718397705
9,memory,260131.85499999652,25.243355056586342
10,roi,0.0,0.0
11,other,121750.74600000019,11.814767205970622
