,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,4878120.173,4858432.449000007,9736552.622000003,10.0
2,aten::embedding,3675.683999999658,10218.679999998987,13894.363999998648,10.0
3,layernormfn,223685.74599999917,198406.19600000264,422091.9420000018,250.0
4,aten::permute,8441.224999998707,0.0,8441.224999998707,480.0
5,aten::reshape,9102.658000002188,0.0,9102.658000002188,480.0
6,aten::matmul,39259.92199999991,939916.257000004,979176.179000004,240.0
7,aten::to,95869.14199999896,9500.183000001149,105369.32500000011,720.0
8,aten::exp,21865.55400000065,1269.658000004848,23135.212000005504,240.0
9,aten::neg,20205.00400000343,1027.0340000023489,21232.03800000578,240.0
10,mambainnerfn,561762.4580000045,3037969.8569999933,3599732.3149999976,240.0
11,aten::linear,2985.4599999992643,660124.5839999993,663110.0439999986,10.0
12,cudadevicesynchronize,3742605.133,0.0,3742605.133,10.0
0,GEMM,42245.381999999176,1600040.8410000033,1642286.2230000026,
0,NonGEMM,382845.0130000028,220421.75100000997,603266.7640000128,
0,SSM_Scan,561762.4580000045,3037969.8569999933,3599732.3149999976,
