,name,total_time (us),pct
0,GEMM,1642286.2230000026,28.095912143725148
1,SSM_Scan,3599732.3149999976,61.583517809957364
2,activation,0.0,0.0
3,logit_computation,0.0,0.0
4,nomralization,422091.9420000018,7.2210665552215145
5,arithmetic,44367.250000011285,0.7590262529158444
6,pooling,0.0,0.0
7,interpolation,0.0,0.0
8,embedding,13894.363999998648,0.23770206725828386
9,memory,122913.208000001,2.102775170921858
10,roi,0.0,0.0
11,other,0.0,0.0
