,name,cpu_time (us),cuda_time (us),total_time (us),count
2,aten::embedding,3675.683999999658,10218.679999998987,13894.363999998648,10.0
3,layernormfn,223685.74599999917,198406.19600000264,422091.9420000018,250.0
4,aten::permute,8441.224999998707,0.0,8441.224999998707,480.0
5,aten::reshape,9102.658000002188,0.0,9102.658000002188,480.0
7,aten::to,95869.14199999896,9500.183000001149,105369.32500000011,720.0
8,aten::exp,21865.55400000065,1269.658000004848,23135.212000005504,240.0
9,aten::neg,20205.00400000343,1027.0340000023489,21232.03800000578,240.0
0,NonGEMM,382845.0130000028,220421.75100000997,603266.7640000128,
0,Inference,4878120.173,4858432.449000007,9736552.622000003,
