,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,3.0,aten::arange,3185.7740000001304,68.12999999951398,3253.9039999996444,20.0
1,4.0,aten::unsqueeze,833.7170000005656,0.0,833.7170000005656,50.0
2,5.0,aten::full,1535.8469999998115,192.48600000001443,1728.332999999826,10.0
3,7.0,aten::reshape,186.1469999996944,0.0,186.1469999996944,10.0
4,10.0,aten::slice,18463.855999998712,0.0,18463.855999998712,970.0
5,11.0,aten::expand,189.9549999999772,0.0,189.9549999999772,10.0
6,12.0,aten::clone,1635.3330000002416,544.8110000002134,2180.144000000455,10.0
7,13.0,aten::to,291644.75800000044,117668.39800000022,409313.1560000007,490.0
8,16.0,aten::masked_fill,2994.9850000002634,1123.837999999737,4118.823,10.0
9,17.0,aten::copy_,872.0219999999254,552.9400000001942,1424.9620000001196,10.0
10,21.0,aten::view,5543.100000002001,0.0,5543.100000002001,490.0
11,22.0,aten::permute,10758.881999999468,0.0,10758.881999999468,480.0
12,23.0,aten::transpose,2980.99799999946,0.0,2980.99799999946,120.0
13,25.0,aten::empty,1395.302999999245,0.0,1395.302999999245,120.0
14,27.0,aten::detach_,1200.5499999998392,0.0,1200.5499999998392,120.0
15,28.0,aten::where,23704.99199999979,196749.2940000001,220454.2859999999,120.0
16,30.0,aten::contiguous,21300.58799999969,9068.314999999064,30368.90299999876,120.0
17,274.0,memory,388426.8069999993,325968.21199999907,714395.0189999983,3160.0
