,256,512,1024,2048,4096,8192,16384,32768,65536,131072
GEMM,6.253055521671113,8.644273208852313,13.133629009194484,19.878946321553343,24.583502717935524,32.431599942269244,32.59220304190539,34.72300066127697,35.60485467539774,33.76431169231247
SSM_Scan,74.38884414812456,73.12000874656322,70.29519191867749,65.8544462747931,62.126959529027474,55.56979127550259,57.61819960752084,56.28554548702736,56.10129817237873,58.74541223103754
activation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logit_computation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nomralization,13.61584459650664,13.17459780965154,12.144349527881635,10.54474992654027,10.285039789650243,9.880701406356952,8.573409767079333,8.280956907468658,7.8894823661212605,7.247181203455424
arithmetic,3.143581276771916,2.49161907625983,2.1317066526652884,1.770005870905653,1.4420534915840004,0.9187985512621386,0.5245412948339767,0.2852145658912094,0.1449679636568221,0.0698042248634073
pooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interpolation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
embedding,0.1871161070577964,0.2399757305434318,0.1748091838721006,0.1679395335953326,0.2140325307713636,0.2119921990224308,0.1427024574700595,0.128504641862489,0.1114815501888777,0.102504894017342
memory,2.411558349867976,2.329525428129668,2.120313707709001,1.7839120726122943,1.3484119410313962,0.987116625586629,0.5489438311904149,0.296777736473282,0.1479152722565966,0.0707857543138016
roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
