,name,total_time (us),pct
0,GEMM,484438.92699999415,23.499845882212867
1,SSM_Scan,238255.24100000068,11.55762085182219
2,activation,12408.850999997714,0.601946024199853
3,logit_computation,0.0,0.0
4,nomralization,270507.3080000051,13.122149550158845
5,arithmetic,231799.6829999816,11.244465550650167
6,pooling,0.0,0.0
7,interpolation,0.0,0.0
8,embedding,369.5109999998254,0.017924760104545356
9,memory,616865.3740000152,29.92377451755468
10,roi,0.0,0.0
11,other,206810.86699999397,10.032272863296841
