,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,23175343.535999995,17827122.827999987,41002466.36399998,10.0
2,aten::embedding,393878.2780000019,53424.62500000233,447302.9030000042,10.0
3,layernormfn,697497.2399999778,819216.9620000189,1516714.2019999968,250.0
4,aten::linear,2672053.7540000062,6908309.80200002,9580363.556000026,250.0
5,aten::to,222804.96300000185,1685.107000007294,224490.07000000915,240.0
6,aten::exp,54046.11700000311,1054.080999986967,55100.19799999008,240.0
7,aten::neg,45317.86599997268,618.2510000085458,45936.11699998123,240.0
8,aten::reshape,9378.885000017472,0.0,9378.885000017472,240.0
9,mambasplitconv1dscancombinedfn,3266711.301000025,10042813.999999944,13309525.30099997,240.0
10,cudadevicesynchronize,14923624.251000002,0.0,14923624.251000002,10.0
0,GEMM,2672053.7540000062,6908309.80200002,9580363.556000026,
0,NonGEMM,1422923.3489999748,875999.026000024,2298922.374999999,
0,SSM_Scan,3266711.301000025,10042813.999999944,13309525.30099997,
