,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,4.0,aten::permute,469.0109999985001,0.0,469.0109999985001,480.0
1,5.0,aten::reshape,497.9809999993615,0.0,497.9809999993615,480.0
2,7.0,aten::to,5628.531999999118,1752.4340000003422,7380.96599999946,720.0
3,16.0,memory,6595.52399999698,1752.4340000003422,8347.957999997321,1680.0
