,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,45577.72800001099,19822783.236999933,19868360.964999944,
1,SSM_Scan,143924.8360000208,1076414.5879999632,1220339.423999984,
2,activation,421.6600000111503,71691.20299998682,72112.86299999797,60.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,86534.38800001597,4912973.906999999,4999508.295000015,890.0
5,arithmetic,26801983.04700003,1169675.8450000884,27971658.89200012,5160.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,413.7970000029132,2967.91100000057,3381.708000003483,10.0
9,memory,97447.83099990139,471896.0620000517,569343.8929999531,10599.0
10,roi,0.0,0.0,0.0,0.0
11,other,114.83199998396618,45261.2139999993,45376.04599998327,770.0
