model_name,input_seq_length,output_tokens,prefill_time_seconds,decode_time_seconds,total_time_seconds,tpot_seconds,throughput_tokens_per_sec,device,timestamp
gen_qwen25-instruct_cuda_256_1024,1024,256,0.01431384903844446,3.3392287470633164,3.353542596101761,0.01304386229321608,76.66440947633166,cuda,2025-12-15 02:19:47
gen_qwen25-instruct_cuda_256_2048,2048,256,0.02308832702692598,3.1880738249747083,3.2111621520016342,0.012453413378807454,80.29926973288673,cuda,2025-12-15 02:20:01
gen_qwen25-instruct_cuda_256_4096,4096,256,0.04616428504232317,3.169079278013669,3.215243563055992,0.012379215929740894,80.78056039054249,cuda,2025-12-15 02:20:15
gen_qwen25-instruct_cuda_256_8192,8192,256,0.09093242499511689,3.175959773012437,3.266892198007554,0.012406092863329832,80.60555494919913,cuda,2025-12-15 02:20:29
gen_qwen25-instruct_cuda_256_16384,16384,256,0.22962778504006565,3.188250569975935,3.4178783550160006,0.012454103788968496,80.29481823379155,cuda,2025-12-15 02:20:45
gen_qwen25-instruct_cuda_256_24576,24576,256,0.4086635540006682,3.150898827938363,3.559562381939031,0.01230819854663423,81.24665816944085,cuda,2025-12-15 02:21:03
gen_qwen25-instruct_cuda_256_32768,32768,256,1.3035949809709564,10.624608622980304,11.92820360395126,0.04150237743351681,24.095005198242262,cuda,2025-12-15 02:21:35
gen_falcon-h1_cuda_256_1024,1024,256,0.03911272203549743,7.261821026913822,7.300933748949319,0.028366488386382116,35.25286550731706,cuda,2025-12-15 02:25:36
gen_falcon-h1_cuda_256_2048,2048,256,0.041012394009158015,7.109633886953816,7.150646280962974,0.027772007370913343,36.007480001151706,cuda,2025-12-15 02:25:58
gen_falcon-h1_cuda_256_4096,4096,256,0.051595767959952354,6.870637794025242,6.922233561985195,0.026838428882911103,37.260005209795736,cuda,2025-12-15 02:26:22
gen_falcon-h1_cuda_256_8192,8192,256,0.11498942808248103,6.988347244914621,7.103336672997102,0.02729823142544774,36.63240978563132,cuda,2025-12-15 02:26:46
gen_falcon-h1_cuda_256_16384,16384,256,0.2954801479354501,6.950589112006128,7.246069259941578,0.027150738718773937,36.83141038473953,cuda,2025-12-15 02:27:12
gen_falcon-h1_cuda_256_24576,24576,256,0.5075307219522074,6.979084313032217,7.486615034984425,0.0272620480977821,36.68102984828036,cuda,2025-12-15 02:27:39
gen_falcon-h1_cuda_256_32768,32768,256,0.7415747520281002,7.009246257948689,7.750821009976789,0.027379868195112067,36.52318531535235,cuda,2025-12-15 02:28:10
gen_mamba2_cuda_256_1024,1024,256,0.026601921999827027,3.602793929981999,3.629395851981826,0.014073413788992184,71.05596516903177,cuda,2025-12-15 02:33:38
gen_mamba2_cuda_256_2048,2048,256,0.046501094941049814,3.536486958968453,3.582988053909503,0.01381440218347052,72.38822112740714,cuda,2025-12-15 02:34:12
gen_mamba2_cuda_256_4096,4096,256,0.09045246301684529,3.4998858459293842,3.5903383089462295,0.013671429085661657,73.14524280777505,cuda,2025-12-15 02:34:49
gen_mamba2_cuda_256_8192,8192,256,0.18726414802949876,3.6976593210129067,3.8849234690424055,0.014443981722706667,69.23298708056032,cuda,2025-12-15 02:39:56
gen_mamba2_cuda_256_16384,16384,256,0.37613332900218666,3.689622411970049,4.065755740972236,0.014412587546758004,69.38379362871187,cuda,2025-12-15 02:40:38
gen_mamba2_cuda_256_24576,24576,256,0.5671171919675544,3.497478334000334,4.0645955259678885,0.013662024742188805,73.19559281077609,cuda,2025-12-15 02:41:24
gen_mamba2_cuda_256_32768,32768,256,0.756712383008562,3.751220852951519,4.507933235960081,0.014653206456841872,68.24444895015317,cuda,2025-12-15 02:42:11
