,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,24084.76799999937,222460.44899999985,246545.21699999925,
1,SSM_Scan,381462.0460000005,367366.4899999989,748828.5359999994,
2,activation,0.0,0.0,0.0,0.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,149369.97200000018,29932.358000000862,179302.33000000106,250.0
5,arithmetic,28253.133999998943,2472.69199999947,30725.825999998415,480.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,1912.665000000076,1754.4499999999998,3667.115000000076,10.0
9,memory,75605.12000000034,10090.354999999689,85695.47500000003,1680.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
