,256,512,1024,2048,4096,8192,16384,32768
GEMM,11.95988094672364,16.614163492600213,19.04170350595932,25.510867294528776,28.181037718370234,28.095912143725148,30.092976143804517,31.10862540274229
SSM_Scan,57.97328824541362,58.36892698823575,57.83511492463313,55.46835269527763,57.08853867342788,61.58351780995736,62.05604175322104,62.86174044191692
activation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logit_computation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nomralization,17.142022183810578,14.62604322822602,13.84825813022244,11.99696188868323,9.74539343432213,7.221066555221514,5.938052318474871,4.94533515956695
arithmetic,3.2846426308027024,2.6662255069875904,2.373082210991209,1.7756189856138054,1.237138171015392,0.7590262529158444,0.447961530166486,0.228790275071461
pooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interpolation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
embedding,0.316607765898293,0.2907058324793018,0.2832264093456644,0.2580017025866007,0.2537946566672017,0.2377020672582838,0.2327704147686516,0.218584857269725
memory,9.323558227351162,7.433934951471128,6.618614818848238,4.990197433309961,3.494097346197162,2.102775170921858,1.232197839564448,0.6369238634326463
roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
