,name,total_time (us),pct
0,GEMM,5020498.557000004,30.74878948173041
1,SSM_Scan,2310030.6019999865,14.14812570321639
2,activation,61488.43799999598,0.37659507599820774
3,logit_computation,0.0,0.0
4,nomralization,3576993.1160000283,21.90782589671874
5,arithmetic,4478975.230000029,27.43214939263966
6,pooling,0.0,0.0
7,interpolation,0.0,0.0
8,embedding,7798.544999999486,0.047763347752474074
9,memory,868964.1209999565,5.322099891165162
10,roi,0.0,0.0
11,other,2718.7209999815477,0.016651210778944187
