,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,3.0,aten::clone,3552.747999995787,1665.8060000004125,5218.553999996199,20.0
1,4.0,aten::zeros,111745.66299999708,7670.18200000572,119415.8450000028,760.0
2,5.0,aten::empty,4279.350999972003,0.0,4279.350999972003,760.0
3,6.0,aten::to,119352.30699998174,2547.646999990109,121899.95399997184,1210.0
4,8.0,aten::detach_,5871.141999994934,0.0,5871.141999994934,760.0
5,9.0,aten::arange,3257.3729999989373,56.51600000031249,3313.88899999925,20.0
6,10.0,aten::unsqueeze,3169.8739999979152,0.0,3169.8739999979152,200.0
7,11.0,aten::select,261.54800000146497,0.0,261.54800000146497,10.0
8,13.0,aten::item,2079.459999999366,25.28100000177801,2104.741000001144,20.0
9,14.0,aten::full,1355.1989999995894,289.9639999989922,1645.1629999985817,10.0
10,16.0,aten::reshape,1594.5740000050027,0.0,1594.5740000050027,70.0
11,19.0,aten::slice,23752.43999999871,0.0,23752.43999999871,900.0
12,20.0,aten::expand,388.0520000014003,0.0,388.0520000014003,20.0
13,21.0,aten::alias,244.8469999991321,0.0,244.8469999991321,20.0
14,24.0,aten::masked_fill,2699.5229999999865,1192.8569999988176,3892.379999998804,10.0
15,25.0,aten::copy_,83992.05700001928,15512.685000004683,99504.74200002397,770.0
16,29.0,aten::transpose,33278.293000009646,0.0,33278.293000009646,1390.0
17,30.0,aten::cat,21281.02500000409,74952.04399999895,96233.06900000304,130.0
18,38.0,aten::split_with_sizes,45467.65699998391,0.0,45467.65699998391,760.0
19,39.0,aten::pad,117039.44800000513,3034.643999999229,120074.09200000436,380.0
20,40.0,aten::squeeze,9294.10999998138,0.0,9294.10999998138,380.0
21,42.0,aten::view,23987.52999999893,0.0,23987.52999999893,1700.0
22,45.0,aten::concatenate,9370.245000003257,25230.18300000162,34600.428000004875,60.0
23,46.0,aten::contiguous,34271.593999996345,69663.18500000803,103934.77900000438,180.0
24,48.0,aten::chunk,5537.067000002848,0.0,5537.067000002848,60.0
25,565.0,memory,667123.1269999479,201840.99400000868,868964.1209999565,10600.0
