,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,12.0,aten::add,96171.597000004,216482.63599999133,312654.2329999954,810.0
1,17.0,aten::gt,1249.8819999990228,730.3369999999704,1980.2189999989928,10.0
2,18.0,aten::mul_,928.4910000009876,1687.151000001657,2615.6420000026446,10.0
3,22.0,aten::eq,175811.11500001204,6506.585000001076,182317.7000000131,1170.0
4,23.0,aten::mul,44494.1220000032,142434.74000000532,186928.8620000085,340.0
5,26.0,aten::all,214983.951000014,7690.154000011196,222674.1050000252,1150.0
6,27.0,aten::bitwise_not,1064.499000001706,38.65899999966496,1103.158000001371,10.0
7,31.0,aten::cos,1021.870999998864,112.96700000043349,1134.8379999992976,10.0
8,32.0,aten::sin,972.366000000955,95.77699999825565,1068.1429999992106,10.0
9,34.0,aten::is_nonzero,3446280.980999988,1070.8159999899651,3447351.796999977,760.0
10,36.0,aten::exp,39914.71999999051,1458.2200000110315,41372.940000001545,380.0
11,37.0,aten::neg,54573.24300000337,23200.35000000328,77773.59300000666,500.0
12,315.0,arithmetic,4077466.8380000168,401508.3920000132,4478975.230000029,5160.0
