,name,total_time (us),pct
0,GEMM,6635123.409000035,31.895100791288883
1,SSM_Scan,829108.3410000114,3.985531613055419
2,activation,35681.28099999874,0.17152025421464992
3,logit_computation,0.0,0.0
4,nomralization,2535835.5059999665,12.189785188364317
5,arithmetic,10528816.023000028,50.61211790138107
6,pooling,0.0,0.0
7,interpolation,0.0,0.0
8,embedding,1760.6000000024942,0.008463220801146438
9,memory,225247.00799994482,1.082764491365688
10,roi,0.0,0.0
11,other,11382.656999985913,0.054716539528830745
