,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,4180012.911,4166190.504000003,8346203.415000003,10.0
2,aten::embedding,2531.4979999996613,10214.348999999664,12745.846999999329,10.0
3,layernormfn,204715.3349999951,196697.5670000022,401412.9019999973,250.0
4,aten::linear,60027.4759999993,1709761.1559999955,1769788.6319999949,250.0
5,aten::to,34356.31599999692,1778.1600000037915,36134.47600000072,240.0
6,aten::exp,20677.319999997308,1088.8710000028575,21766.191000000166,240.0
7,aten::neg,20011.216999999106,728.7500000035334,20739.96700000264,240.0
8,aten::reshape,3936.8159999996033,0.0,3936.8159999996033,240.0
9,mambasplitconv1dscancombinedfn,1126070.5880000014,2245921.6509999954,3371992.238999997,240.0
10,cudadevicesynchronize,2588408.484,0.0,2588408.484,10.0
0,GEMM,60027.4759999993,1709761.1559999955,1769788.6319999949,
0,NonGEMM,286228.50199998775,210507.69700001203,496736.19899999973,
0,SSM_Scan,1126070.5880000014,2245921.6509999954,3371992.238999997,
