,name,cpu_time (us),cuda_time (us),total_time (us),count
4,aten::linear,60027.4759999993,1709761.1559999955,1769788.6319999949,250.0
0,GEMM,60027.4759999993,1709761.1559999955,1769788.6319999949,
0,Inference,4180012.911,4166190.504000003,8346203.415000003,
