,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,49737.434000001085,854872.1409999989,904609.575,
1,SSM_Scan,957443.7729999996,1120288.3579999986,2077732.1309999984,
2,activation,0.0,0.0,0.0,0.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,184581.49100000065,98598.60699999952,283180.0980000001,250.0
5,arithmetic,34582.62699999892,1446.156000001591,36028.78300000052,480.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,1666.1039999995874,5152.550999999965,6818.654999999552,10.0
9,memory,32892.9980000008,1389.3230000010112,34282.32100000181,480.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
